word,level,slope,pval,count
ariana,0,-0.13244707619246904,0.8318574949294807,5
wsj,0,-0.1695716779363286,0.2711480059178161,44
accounts,0,-0.0635224146156727,0.8022724970850829,18
change,0,-0.12741355434103013,0.31570877383533963,64
attorney,0,0.06817224100430222,0.7881002031436013,18
slams,0,-0.20257072701650908,0.6304425606058786,8
fbi,0,-0.15009563878575868,0.04491499661447621,179
probe,0,0.17600652985456533,0.2905058360723189,38
question,0,-0.05930864385908247,0.6554496755786399,59
others,0,-0.008216265467310153,0.9553178866332782,49
story,0,0.2611602591246756,0.0129093316197549,90
we,0,0.3398418912486183,0.0024956314457478326,77
disap,0,0.7874575618799289,0.03554169857282975,7
night,0,0.08048686588719157,0.3516060586571557,136
late,0,0.01982222821995407,0.8879641791832174,53
right,0,-0.0457631064265611,0.5534580893623438,170
feel,0,0.2954134870267178,0.0023308366288774,104
insecure,0,0.2477150891070465,0.5204567787797036,9
opinion,0,-0.00844805369504051,0.9646601553005234,30
version,0,-0.29860011452054586,0.2143191738190172,19
speech,0,-0.12367287808325145,0.5739769782395308,23
hype,0,-0.3328906374425262,0.3472739820905673,10
beat,0,0.1703067583399877,0.31356672151337034,37
drops,0,-0.11825027751563083,0.6195217061453013,20
different,0,-0.037819232801270614,0.7819881828349551,56
certain,0,0.25805701032015793,0.3172987287992455,17
wanna,0,-0.1681315442629698,0.21981724384095028,55
around,0,-0.11062229586826701,0.3077157162087356,87
krassenstein,0,-0.2409898438772613,0.14497398716447288,38
caucasian,0,-0.40129409431831375,0.503121906647536,5
attacking,0,-0.4223264890152021,0.19568228359513806,11
approach,0,-0.06639162132866691,0.7421404112941028,27
financial,0,-0.0391201139368474,0.8181858694276537,37
optimism,0,0.26361585592047665,0.23585746867117816,22
join,0,0.394444743344174,0.0038089526581048787,52
us,0,-0.017558047998458094,0.7902298012509482,232
exciting,0,-0.3176157181401528,0.4433096613963161,8
claire,0,0.07460067426807412,0.9051036474271148,5
d,0,-0.1397919647551585,0.2252942463448988,77
startspreadingthenews,0,-0.4385588502209695,0.5614411497790306,4
win,0,-0.13176656606547485,0.12765792455024588,135
start,0,0.11256190473363502,0.31400805014593136,82
run,0,0.36364464623581133,0.00743826270435708,53
homerun,0,-0.21662492845562434,0.6801453169651565,6
rbi,0,0.02991644289717392,0.9619148844650084,5
brother,0,-0.03239043687791815,0.8448072403806386,39
fight,0,-0.17600027716525493,0.1986759100224009,55
stopkavanaugh,0,-0.2272619601206254,0.3352498912741042,20
friday,0,0.16904590686117438,0.16817716432589627,68
tryna,0,0.20479717238047934,0.3054973380013263,27
steal,0,-0.1010768685590534,0.7546135389959324,12
bitch,0,0.07229704194960304,0.5519983603762644,70
feed,0,-0.028060828375334364,0.9092121887752418,19
lettuce,0,-0.17693859874050816,0.6750994229065581,8
sandwiches,0,-0.16799871378955752,0.6657034016660004,9
yes,0,-0.1455972436690164,0.09078077761172317,136
said,0,0.1227542625223422,0.17797782726341604,122
oath,0,-0.07681738042018323,0.6466693679464903,38
anyone,0,-0.18010456369384648,0.09703925048277677,86
take,0,0.027021975036445392,0.7773169901818582,112
nike,0,0.6712133323140078,0.2147989949820733,5
40,0,0.3866099779156645,0.026250054710359464,33
weather,0,-0.265151727527101,0.1127313814266137,37
ready,0,-0.10754199384082397,0.3486698814353387,78
suppose,0,-0.1472129747879715,0.6657833660546313,11
scared,0,-0.046087721564190866,0.8022224866754666,32
team,0,0.19007998052498135,0.06954860502597733,92
came,0,-0.20724162611698102,0.1823812367179717,43
3-0,0,-0.3260499933212898,0.4754269882565187,7
l,0,0.16415006706991114,0.25972007978960066,49
successfully,0,0.8173460495342448,0.09109731486930113,5
emails,0,-0.12886638241677392,0.6606197284114022,14
2013,0,0.13261139113514653,0.6658315823554076,13
wake,0,0.046087380124590814,0.7637016866620356,45
something,0,0.08900119318017191,0.3665963166365158,105
officers,0,0.004650389854161807,0.9791759556411078,34
he,0,0.283833679176042,0.029365831899729238,59
lied,0,-0.20619019516646106,0.19017291887847065,42
child,0,0.008244445614150567,0.9561384769042796,47
mn,0,0.8426974639553442,0.008618880246520275,8
oy,0,0.8966254308614083,0.10337456913859164,4
como,0,0.4660441985107669,0.14851034818972486,11
way,0,-0.164048777940193,0.0545234905140501,138
creepy,0,-0.10126727448363901,0.7420183721779751,13
repost,0,0.3838598942957572,0.19536531152562756,13
returns,0,0.17825246836006975,0.4273923658645603,22
ba,0,0.14035402734873914,0.6635103973809103,12
full,0,-0.0560746490464209,0.6281117672264014,77
youtube,0,0.037186021330328965,0.7023991430646647,108
electric,0,-0.13961653481714867,0.5686349585424306,19
paid,0,-0.0658407936542429,0.7493025356706867,26
rent,0,-0.03835694980212154,0.9057908692064728,12
think,0,0.06234875618582991,0.4438951404463496,153
yall,0,-0.07931880326950852,0.7062593719756329,25
repeat,0,0.3349281900504758,0.3782964970101282,9
cast,0,-0.13260151659687022,0.3796805732654046,46
butt,0,0.015730533922615485,0.9522180976652468,17
dress,0,-0.28814288100803986,0.17212233027396334,24
tickets,0,0.037676857214818255,0.8550090156835707,26
yet,0,0.1610819018410251,0.12090212840635732,94
waiting,0,0.1393622854963287,0.4107139463698469,37
wild,0,0.5603416869637574,0.0015702792358019465,29
card,0,-0.2587521438158159,0.1117098722000086,39
hot,0,-0.3165246288149063,0.025124547527049144,50
imtheebrock,0,0.4349895752373915,0.07121919131001396,18
are,0,0.031516958105138486,0.7759504644736109,84
counts,0,0.6414114406925598,0.02457287630742646,12
amas,0,-0.21452643723337755,0.05004425574355483,84
favorite,0,-0.09217261091617343,0.3902892269586349,89
social,0,0.052202604997088765,0.6997539953402833,57
artist,0,-0.1037017604360375,0.422496954832821,62
chief,0,-0.0010618445759011958,0.9963552759212572,21
single,0,-0.13468937928213984,0.2698484970026745,69
wants,0,-0.09499599151132927,0.4861603714598347,56
this,0,0.0387809184424639,0.5744352130584438,212
give,0,-0.059328351031813685,0.5658404617903513,96
brandon_arreaga,0,0.9014363225295192,0.09856367747048074,4
definitely,0,-0.21141246855817644,0.3103583601272192,25
make,0,0.01464624920115859,0.8804133655166101,108
trip,0,-0.030676456243838444,0.9207550009827132,13
electrons,0,0.019825547544636456,0.962836837802442,8
hungry,0,0.3157096726363777,0.3742015655042764,10
tell,0,0.16269711951065266,0.14167740425223674,83
lie,0,-0.12258899415565196,0.4064986237143652,48
y,0,0.02794724024108096,0.8588040725229324,43
yo,0,0.3851428283459318,0.0015346677582790947,65
trade,0,-0.06429970173496452,0.7549921172867169,26
jeans,0,0.2995422888553081,0.5139843757671565,7
says,0,-0.01594616153809934,0.8755150183877431,99
nationaltacoday,0,0.15993882453229102,0.6385306337864454,11
common,0,-0.016416515740736458,0.9484502537167512,18
check,0,-0.09144990658554923,0.3886185423187532,91
tl,0,-0.2690187389385046,0.18387337741205492,26
climate,0,0.3548262617739875,0.3487619548756775,9
alien,0,0.3419268622657697,0.4071045120257559,8
search,0,-0.04332793995639854,0.8520664379925402,21
news,0,-0.05039065895852414,0.5830792016535049,121
strap,0,0.9367346766054668,0.0189198465992533,5
da,0,0.15626649007680207,0.30532376386950244,45
good,0,0.008473938087776006,0.9000894723693269,222
characters,0,0.190902500394268,0.5321399544113731,13
fr,0,0.10663937023638607,0.6942602852527654,16
3rd,0,-0.24791270018420805,0.178722340065772,31
overall,0,-0.4100336813683757,0.3609147564366051,7
damn,0,0.029339780488511793,0.78981436894403,85
bts,0,-0.10832585759500646,0.37562048517223207,69
line,0,0.4698796529968368,0.0001981257076956596,58
lance,0,0.4843980450248692,0.5156019549751311,4
finna,0,0.6827401434926995,0.042693449284760064,9
watch,0,-0.017804643577702412,0.8611441280393441,99
year,0,0.03839745384906277,0.638597232406003,152
roadmap,0,0.2025357638822601,0.33157505901815576,25
likely,0,0.17561675674389934,0.30559759801367475,36
scorpio,0,0.20245531111957388,0.3317712595059157,25
job,0,0.06623190031821717,0.4704287617921423,121
political,0,0.16253819783596815,0.23135743059255925,56
thought,0,0.3431695432298002,0.0022475608945028507,77
and/or,0,-0.30744555864463385,0.5533619651819368,6
ou,0,-0.2476742834577605,0.3932544832862098,14
increase,0,0.6439100888945662,0.06127141646273615,9
academic,0,-0.3274102094142917,0.5264334548740667,6
gold,0,0.2498495373264187,0.20879960118307955,27
surprised,0,-0.3443380953910214,0.09188423041889593,25
stage,0,-0.4494209328844918,0.02757778798452129,24
xbox,0,-0.4945077107974215,0.21286626601304076,8
rockstar,0,-0.7747955481438907,0.12386694280796247,5
remix,0,-0.5644968691208618,0.05586267299830968,12
needed,0,-0.21161655630849627,0.14877105942569455,48
collegeprobiem,0,-0.2635130509766432,0.7364869490233569,4
10pm,0,-0.4614062931068024,0.3570062837480891,6
high,0,-0.17137669330484814,0.1415243172922903,75
school,0,-0.07390303776738437,0.4366103586461535,113
alright,0,-0.23089940140788398,0.3566130282676575,18
2am,0,-0.15658219449800315,0.4172786413205142,29
college,0,0.026852237917489242,0.8457041448079564,55
short,0,0.001765856127831461,0.9923470084376108,32
look,0,0.13862018561994707,0.08961285185081827,151
call,0,0.2571142728608336,0.020494796118873226,81
point,0,0.06808243745416273,0.5840852787798023,67
12,0,0.289148025095102,0.05129754006831147,46
heritage,0,0.15846158498578772,0.7078207885908862,8
cold,0,-0.2335621835453947,0.19081965414932486,33
matter,0,0.017163838734086043,0.9196874269476644,37
ice,0,-0.022504917849347803,0.8780142524669214,49
put,0,-0.02624843944264229,0.8027804706641022,93
official,0,0.3172514178116365,0.09355451761107747,29
via,0,0.09194378057787816,0.3039082068166772,127
dnc,0,-0.19508842931103013,0.3395494364359404,26
critically,0,-0.12399890568675645,0.8425252155297184,5
healthy,0,-0.2806360459668372,0.275241964706987,17
female,0,0.5716028676353156,0.0011989281662568194,29
zoo,0,-0.18511380807580494,0.7656588781777449,5
oregon,0,-0.8921085947937742,0.10789140520622552,4
everything,0,-0.15442521415262442,0.17703508253231046,78
account,0,0.23725551329829314,0.07556426767206656,57
ban,0,0.09770238491237328,0.8349257971318518,7
use,0,0.21078585960735144,0.08686308756247635,67
legacy,0,-0.02672646384673709,0.9161628347228536,18
champagnebikhol,0,-0.23112847447753135,0.7688715255224686,4
plan,0,-0.19548084864916376,0.2462605633263254,37
calls,0,-0.3613001925759996,0.04218215856355097,32
adolescent,0,-0.5937551169188783,0.12069225078617515,8
rare,0,-0.3561050697338974,0.1469429350453737,18
wh,0,-0.07146422569312988,0.6570342474381226,41
sham,0,-0.08717381625659244,0.6409957144488441,31
investigation,0,0.0708251812776213,0.385902104564172,152
senator,0,-0.09418712162660972,0.4554933843508369,65
conservatives,0,-0.21849556099495285,0.3286261915202682,22
vote,0,0.0027135873483193256,0.9692733316530652,204
fans,0,-0.09571677204528133,0.5040410584535153,51
sen,0,0.07318242561186737,0.6249409100423391,47
jeff,0,-0.2989049817860868,0.12989129865121335,27
msnbc,0,-0.14049826101396382,0.3871966024083011,40
sonofliberty357,0,-0.10630541621710822,0.8021739293591126,8
diane,0,-0.6756976418959969,0.21057831169214727,5
grabbed,0,-0.517241896626734,0.29332839140576056,6
size,0,0.005281934258753332,0.9800089568337884,25
presidential,0,0.0345048631984647,0.8488162328498275,33
alert,0,-0.2491926561199472,0.03227072088188012,74
artificial,0,-0.21208791591783244,0.4866661832263109,13
replace,0,0.4745596401452067,0.34159758111685806,6
ai,0,0.04809075121583245,0.8497065714313453,18
thehill,0,-0.10446898651968234,0.6040584449168718,27
el,0,0.4182014089338908,0.0027879651238743954,49
mejor,0,0.936569342443508,0.005907567490844296,6
del,0,0.6630569641910081,0.0019726611000568774,19
amor,0,0.128336560464711,0.8370464800789209,5
iv,0,-0.8618416475802546,0.13815835241974558,4
getting,0,0.07505532662412437,0.4896162328690884,87
1776stonewall,0,-0.4129896420136317,0.357115658005464,7
week,0,0.2759840768670427,0.0012477151658391937,134
nice,0,-0.08329253567043493,0.5128890900492096,64
attempt,0,-0.05350762033025159,0.8277755344612916,19
dates,0,-0.6491531231467077,0.3508468768532924,4
online,0,-0.11149080803847868,0.5237166665462577,35
au,0,-0.1644919214477429,0.6497529073208301,10
cute,0,-0.0988820805953132,0.4483446939913053,61
teen,0,0.6700161774199439,0.06906484648027196,8
feat,0,-0.10605150546211564,0.6563219605003772,20
lil,0,0.289891735111096,0.05067497708071264,46
wayne,0,-0.2770302281154217,0.2817175497860444,17
foxnews,0,0.11616587947501066,0.3529646315773021,66
soldier,0,-0.3217521485793097,0.6782478514206903,4
1st,0,-0.13660479698881942,0.4636965832975049,31
li,0,0.08018439805021171,0.7368350678146447,20
daughter,0,-0.2764353564656303,0.1466044127405051,29
mccain,0,-0.4590176145275153,0.43678704385951495,5
roll,0,-0.2401268419772598,0.2183951843765307,28
scientific,0,-0.408777423056445,0.4944104132195676,5
research,0,0.3183089599702597,0.1130167149951681,26
sets,0,0.6512913564307004,0.006276446850734444,16
rules,0,-0.3099583986864745,0.18353255360695908,20
yt,0,-0.2005047303711558,0.7032732647556507,6
nasty,0,-0.4327932489849369,0.21155681670900015,10
trending,0,-0.42398942548711455,0.16956295957916212,12
showing,0,-0.2937882506866331,0.0694765852070003,39
integrity,0,0.06698264078076913,0.8640532495399716,9
degrees,0,0.12977077266989573,0.7037280126158889,11
able,0,0.0926171931571506,0.5596441418806409,42
finish,0,-0.17490040601414636,0.5019598928401497,17
started,0,-0.05272438990982595,0.7190015722191055,49
gon,0,0.33768799164825164,0.07320339804206259,29
faithful,0,-0.8823171796466439,0.019958960132816558,6
seriously,0,0.025141423935464764,0.8825767056425574,37
sf,0,-0.6098247598515855,0.39017524014841465,4
security,0,0.07801331096786178,0.6609902446524147,34
primary,0,-0.05756152690576375,0.8450362110506036,14
vital,0,-0.3341926869686365,0.6658073130313635,4
sahluwal,0,-0.01969578665241769,0.9401917397871808,17
lady,0,-0.05900957209666796,0.6777448474148833,52
push,0,0.015938953571050414,0.9468243043350424,20
out,0,-0.12101849021671375,0.22105091292684287,104
global,0,-0.3515837373520576,0.1399217179912297,19
scope,0,-0.5233085774612756,0.1205999193064793,10
forecast,0,-0.3355757767396353,0.2862580263573251,12
blame,0,0.31001782737818,0.1964604675159145,19
angrierwhstaff,0,0.31669518182872874,0.3726299025996103,10
bar,0,-0.01954338805123974,0.912643808919386,34
law,0,0.009295205022849492,0.9418876211269829,64
professors,0,-0.04384438778690226,0.7995695233574529,36
yale,0,-0.05560684358652666,0.7547710504643106,34
deal,0,-0.130488543576565,0.4101260459729581,42
ton,0,0.8631154159772029,0.0027259621595861427,9
house,0,-0.11198331095372012,0.2600881767314144,103
james,0,0.2430840042864862,0.15313044679908375,36
details,0,0.12291596514469312,0.5583174891104239,25
jail,0,-0.4580386969143497,0.03205696570969685,22
haters,0,-0.3883834697150833,0.6116165302849168,4
tried,0,-0.2202682869919036,0.1664036111397104,41
down,0,0.09940274427964252,0.5110142830453597,46
g,0,0.04269579861110792,0.7831747640592268,44
chung,0,-0.4668049154694752,0.3506526162664193,6
sexually,0,-0.1859979685341608,0.4195291127448487,21
ago,0,0.029424926984845917,0.7955592393349076,80
50,0,0.030107637241109993,0.8193674584976132,60
kept,0,0.5730864573765098,0.006614608261858435,21
secret,0,-0.3159455427733611,0.13257757864633785,24
finds,0,0.31903248313319005,0.13786331403056573,23
sexual,0,0.1219320303950755,0.2940478817221108,76
true,0,0.06835759355442489,0.5573795476923236,76
no,0,0.2906646180690888,0.0009607596320239094,126
confirms,0,-0.3683505610473691,0.091646963887432,22
voters,0,-0.012691107741814985,0.9488940286438191,28
declined,0,-0.1854080190402512,0.5639993544871573,12
massive,0,-0.17876286217760565,0.3925666909437451,25
rule,0,0.2123887369575652,0.38268914625122297,19
zero,0,-0.30284458324146,0.2725626851752839,15
concerns,0,-0.21973594797951465,0.6010651254105122,8
updates,0,-0.006475957136972049,0.982470606927288,14
ends,0,-0.25911309108850683,0.23252183638925514,23
oct,0,-0.2099628007772886,0.09586977254528198,64
4,0,-0.038078001072101485,0.6358742762997309,157
19,0,-0.11115842785986657,0.5887810196241572,26
inittowinit007,0,0.6337229707646675,0.3662770292353325,4
mean,0,0.004673399132017078,0.9680399230475732,76
usual,0,0.3720002787998965,0.2337572413158387,12
pressure,0,0.5594633875356863,0.015774152434102892,18
georgia,0,-0.07075591624495606,0.8021420973188499,15
state,0,0.1819865668298525,0.11317897581544015,77
reverse,0,-0.3118411973955458,0.19370319853413304,19
free,0,0.08660072419746777,0.3891760215156673,101
cube,0,0.95500057300262,0.04499942699737991,4
181003,0,0.03773931348513538,0.9025804516797612,13
jungkook,0,-0.010546197006983327,0.9619088204681516,23
loves,0,0.12957303710023566,0.5756239682765911,21
days,0,0.3078856776691558,0.0019339447446140574,99
must,0,0.0008765607871976162,0.9949808154376426,54
paying,0,0.3036828851747657,0.15891775620688714,23
defend,0,-0.5086613653751022,0.052833197223946436,15
towards,0,0.04470770663196056,0.8742927195148996,15
stat,0,0.7318629276206776,0.06150791055140861,7
young,0,-0.08650927860774581,0.5261035254313386,56
diagnosed,0,-0.8960796212837088,0.039581903346738286,5
type,0,-0.26464643692305045,0.07894870927997462,45
smear,0,0.4101843332739616,0.1451980623068118,14
away,0,0.052806451638917486,0.6132215901074487,94
robreiner,0,0.06817260150913816,0.7752010654306878,20
investigation-bullshit,0,-0.4357139808531365,0.4633224925167576,5
allowing,0,-0.6202399603197333,0.05573274329310367,10
armed,0,-0.031520872255752806,0.9358393497356255,9
world,0,0.3256920320616747,0.0005485607928327866,109
color,0,-0.2981612678706068,0.16701497824729986,23
series,0,-0.009231808452743788,0.9580238113537402,35
european,0,0.2759159828377695,0.4723579272642192,9
exclusive,0,-0.09739890237811004,0.5958941137291502,32
remarks,0,-0.4559908115999815,0.30378944459409996,7
policy,0,-0.5168237071774417,0.04852989357113136,15
toward,0,-0.01024189650079974,0.9791372035469852,9
dc,0,-0.2478780709721966,0.22210904298983933,26
palm,0,0.573502234819405,0.426497765180595,4
beach,0,0.45460434164036495,0.05804116649472772,18
levels,0,0.3412831531388918,0.30434974800422304,11
tide,0,0.2396284050673757,0.5345930773076308,9
incredible,0,0.2834705505551661,0.12226592319045185,31
maddow,0,-0.5729747240920922,0.02557066266596389,15
interviewing,0,-0.13682425769149734,0.5237826218403747,24
patrol,0,0.4405228345064173,0.3225456093961352,7
agent,0,-0.23400576305609874,0.4885894955697231,11
used,0,-0.0722066714157106,0.6038506966554076,54
weapon,0,0.6956984905637934,0.05534635956301091,8
usatoday,0,-0.8805135838504164,0.048682248017162096,5
iconic,0,-0.058630050092898026,0.8640429848339677,11
tells,0,-0.12828871200112268,0.4767776791211852,33
considered,0,-0.3210525911122124,0.30890556488449245,12
temperament,0,-0.4615823401977484,0.015367538682854209,27
shop,0,-0.3504628598660163,0.08587655394572281,25
mitchellvii,0,0.03222481621881372,0.8476944139420857,38
jackson,0,-0.1059418209939255,0.5774025540020504,30
lee,0,-0.15834622905757995,0.38671870025472943,32
seen,0,0.23838289953163155,0.05027309237508031,68
handing,0,-0.19297139521580575,0.5276197214810412,13
envelope,0,-0.4303805602470784,0.09610272991138401,16
lawy,0,-0.175907668928125,0.6048958188602913,11
ebay,0,-0.14406455071277752,0.482594237178345,26
gt;&gt,0,-0.4971650910479972,0.05007680210782823,16
men's,0,-0.6254652115679276,0.13304023776586668,7
felt,0,0.6214611903305561,0.0005403358506553534,27
gru,0,0.4195104829680888,0.1535781550029001,13
cyber,0,0.479602829361148,0.09722318330464157,13
2015,0,-0.1631053829443036,0.7267721440520742,7
2017,0,-0.4073597769630282,0.1317868763383766,15
dershowitz,0,0.5234406773671374,0.12048930731838185,10
evidence,0,-0.24806583791932665,0.12273557758819995,40
belongs,0,0.2491354463182773,0.5900571951561437,7
boat,0,0.32580190558944205,0.5926363603716059,5
leader,0,0.2820627217274777,0.1627008946223879,26
decency,0,-0.17990887253542887,0.6189420029234756,10
thanks,0,0.23689301026830306,0.0108021590096634,115
hanging,0,0.13075442446068006,0.6702717270916059,13
treat,0,-0.25970464621982725,0.20995485767572133,25
family,0,0.1359953948474959,0.16452165391366566,106
home,0,-0.034080802434730516,0.7225130960513431,111
book,0,-0.06814796251314227,0.5612794921579909,75
reveals,0,-0.9118365296589926,0.031005490034339923,5
situation,0,-0.005143631830861872,0.9809695302531674,24
sure,0,-0.14777049112083335,0.19666755878329573,78
desideriodc,0,0.4014571061530995,0.5985428938469004,4
helenhs,0,-0.7927106523248126,0.1097014161582709,5
r,0,0.1255562820976035,0.2968034161656977,71
amid,0,-0.4516599936418674,0.1900726962073942,10
barely,0,0.7037244516436626,0.02314209494377075,10
assassination,0,-0.6250178821219466,0.039764980307670665,11
field,0,-0.20392146630885566,0.2550028499367269,33
exo-l,0,-0.031852300271175665,0.9681476997288244,4
save,0,-0.2812754831645801,0.07870956015124164,40
android,0,-0.2087271793155813,0.5627870033281854,10
phones,0,-0.12973797267008455,0.6449151736050016,15
mobile,0,-0.3807802381048821,0.1614429141064992,15
rid,0,0.057284394548229214,0.8271350038277687,17
nafta,0,-0.5055734057136219,0.3062533022735482,6
happened,0,-0.3741346039751322,0.014651831992189316,42
playstation,0,-0.5747313916111221,0.17711610687467053,7
games,0,0.05529957921000125,0.6668559888414469,63
include,0,-0.1891939559996883,0.5358854750226834,13
bear,0,-0.6052509063908429,0.06372122504516832,10
bank,0,-0.279579590785718,0.16659227746755945,26
months,0,-0.017668746367163816,0.8971608912011966,56
password,0,-0.7659446234287764,0.003676794150354671,12
two,0,0.027550937842504085,0.7954537582206062,91
